MC-ID NO.,Street Name,Location,Village Name,Area,County
,Aalto Place,Sumter - Unit 692 (Villa San Antonio),De La Vista,1,Sumter
,Abaco Path,Sumter - Unit 197,Sanibel,9,Sumter
,Abana Path,Sumter - Unit 206,Fernandina,9,Sumter
,Abasco Court,Sumter - Unit 821 (Mangrove Villas),Pennecamp,8,Sumter
,Abbeville Loop,Sumter - Unit 80,Belvedere,5,Sumter
,Abbey Way,Sumter - Unit 164,Buttonwood,8,Sumter
,Abdella Way,Sumter - Unit 180,Charlotte,9,Sumter
,Abdella Way,Sumter - Unit 181,Charlotte,9,Sumter
,Abel Place,Sumter - Unit 195,Osceola Hills,10,Sumter
,Aber Lane,Sumter - Unit 967 (Ventura Villas),Hillsborough,10,Sumter
SE 84TH,Abercorn Court,Marion - Unit 45,Piedmont,4,Marion
,Abercrombie Way,Sumter - Unit 98,Liberty Park,5,Sumter
,Aberdeen Run,Sumter - Unit 139,Hemingway,7,Sumter
,Abernethy Place,Sumter - Unit 99,Poinciana,5,Sumter
,Abner Street,Sumter - Unit 130,Amelia,6,Sumter
,Abney Avenue,VOF - Unit 8,Fenney,12,Sumter
,Abordale Lane,Sumter - Unit 158,Pennecamp,8,Sumter
,Acorn Court,Sumter - Unit 146,Duval,7,Sumter
,Acosta Court,Sumter - Unit 601 (Villa De Leon),Alhambra,2,Sumter
,Adair Lane,Sumter - Unit 818 (Jacaranda Villas),Pennecamp,8,Sumter
,Adams Lane,Sumter - Unit 105,Bridgeport @ Lake Sumter,6,Sumter
,Adamsville Avenue,VOF - Unit 13,Hammock at Fenney,12,Sumter
,Addison Avenue,Sumter - Unit 37,Glenbrook,3,Sumter
,Adeline Way,Sumter - Unit 713 (Hillcrest Villas),Hadley,7,Sumter
,Adelphi Avenue,Sumter - Unit 151,St. James,8,Sumter
,Adler Court,Sumter - Unit 134,Hadley,7,Sumter
,Adriana Way,Sumter - Unit 711 (Adriana Villas),Hemingway,7,Sumter
,Adrienne Way,Sumter - Unit 176,Sanibel,9,Sumter
,Adrienne Way,Sumter - Unit 949 (Megan Villas),Sanibel,9,Sumter
,Afton Avenue,Sumter - Unit 76,Belvedere,5,Sumter
,Agnew Terrace,Sumter - Unit 815 (Hallandale Villas),St. Charles,8,Sumter
,Agua Way,Lake - Unit 16,El Cortez,LL,Lake
,Aiken Avenue,Sumter - Unit 87,Lynnhaven,5,Sumter
,Ainsworth Circle,Sumter - Unit 135,Hadley,7,Sumter
,Aintree Lane,Sumter - Unit 645 (Belmont Villas),Belvedere,5,Sumter
,Akin Way,VOSO - Unit 45,Chitty Chatty,13,Sumter
,Alameda Avenue,Sumter - Unit 683 (Rio Grande Courtyard),Rio Grande,1,Sumter
,Alan Avenue,VOWL - Unit 52,Newell,14,Lake
,Alandari Lane,Sumter - Unit 146,Duval,7,Sumter
,Alandari Lane,Sumter - Unit 707 (Allandale Villas),Duval,7,Sumter
,Alaura Avenue,VOSO - Unit 90 (Alaura Villas),Hawkins,13,Sumter
SE 86TH,Albany Avenue,Marion - Unit 54,Briar Meadow,4,Marion
,Albara Place,Sumter - Unit 210,Gilchrist,9,Sumter
,Albatross Avenue,VOSO - Southern Oaks GMF,N/A,13,Sumter
SE 82ND,Albemarle Avenue,Marion - Unit 221 (Villas Of Bromley),Chatham,4,Marion
,Albion Way,Sumter - Unit 161,Buttonwood,8,Sumter
,Alcade Place,Sumter - Unit 955 (Perry Villas),Collier,10,Sumter
,Alcaraz Place,Sumter - Unit 25,Santo Domingo,2,Sumter
,Alcazar Court,Lake - Unit 17A,Mira Mesa,LL,Lake
,Alcona Avenue,Sumter - Unit 692 (Villa San Antonio),De La Vista,1,Sumter
,Alcott Avenue,Sumter - Unit 76,Belvedere,5,Sumter
,Alcott Avenue,Sumter - Unit 86,Lynnhaven,5,Sumter
,Alcove Loop,Sumter - Unit 144,Hemingway,7,Sumter
,Aldama Avenue,Sumter - Unit 15,De La Vista,1,Sumter
,Aldrich Avenue,Sumter - Unit 238 (Inglewood Villas),Bonnybrook,5,Sumter
,Alee Lane,Sumter - Unit 175,Sanibel,9,Sumter
,Alesio Street,Sumter - Unit 214,Gilchrist,9,Sumter
,Alexa Place,Sumter - Unit 672 (Alexa Villas),Mallory Square,6,Sumter
,Alexandria Place,Sumter - Unit 655 (Lime Grove Villas),Poinciana,5,Sumter
,Alexis Lane,VOWL - Unit 57 (Alexis Villas),Lake Denham,14,Lake
,Alfonso Lane,Sumter - Unit 4,Rio Ponderosa,1,Sumter
,Alford Avenue,West Woodrow Commerce Park,N/A,WWCP,Sumter
,Alfredo Avenue,Sumter - Unit 602 (Villa De La Ramona),Santo Domingo,2,Sumter
,Alfredson Terrace,VOSO - Unit 22 (Marsh Bend Verandas South),Marsh Bend,12,Sumter
,Algonquin Road,Lake - Unit 22,La Reynalda,LL,Lake
,Alhambra Way,Sumter - Unit 31,Alhambra,2,Sumter
,Alicia Avenue,VOSO - Unit 216 (Brody Villas),Moultrie Creek,15,Sumter
,Alistar Court,Sumter - Unit 70,Winifred,5,Sumter
,Allagash Avenue,Sumter - Unit 285 (Clayton Villas),Ashland,5,Sumter
,Allaire Loop,Sumter - Unit 205,Fernandina,9,Sumter
,Allen Avenue,VOSO - Unit 739 (Chase Villas),Monarch Grove,12,Sumter
,Allendale Place,Sumter - Unit 662 (Edgefield Villas),Liberty Park,5,Sumter
,Allende Avenue,Sumter - Unit 13,Palo Alto,1,Sumter
,Allenwood Loop,Sumter - Unit 128,Amelia,6,Sumter
,Allison Place,Sumter - Unit 970 (Harlow Villas),Labelle,10,Sumter
,Allston Court,Sumter - Unit 105,Bridgeport @ Lake Sumter,6,Sumter
,Allure Loop,Sumter - Unit 162,Buttonwood,8,Sumter
,Almanza Drive,Sumter - Unit 604 (Villa Santo Domingo),Santo Domingo,2,Sumter
,Almeria Street,Sumter - Unit 715 (Bainbridge Villas),Hadley,7,Sumter
,Aloha Way,Lake - Unit 1,Orange Blossom Gardens,LC,Lake
,Aloha Way,Lake - Unit 2,Orange Blossom Gardens,LC,Lake
,Alonzo Avenue,Spanish Springs Town Center,N/A,VCCDD,Lake
,Alora Street,Sumter - Unit 127,Amelia,6,Sumter
,Alsobrook Court,VOF - Unit 13,Hammock at Fenney,12,Sumter
,Altair Path,Sumter - Unit 225,Pinellas,9,Sumter
SE 80TH,Altamaha Court,Marion - Unit 66,Piedmont,4,Marion
,Altamonte Way,Sumter - Unit 803 (Altamonte Villas),Pennecamp,8,Sumter
,Alteza Lane,Sumter - Unit 183,Labelle,10,Sumter
,Altman Avenue,VOF - Unit 622 (Magnolia Villas),Desoto,12,Sumter
